video_id,title,published_at,duration_seconds,view_count,like_count,comment_count
CefS0SG-Dug,literally falling apart on my feet,2025-03-05T19:00:08Z,41.0,6116,571,37
yvJnirjndPU,RATE MY GLAMBOT🌟😋,2025-03-04T19:00:47Z,14.0,6212,948,29
vEZLMPBVWZI,I LOVEEEEE MY SISTER,2025-03-03T19:00:47Z,8.0,7406,495,3
Et9VGMLuOZk,HAD to show the fit🤭,2025-03-02T19:00:09Z,11.0,5737,629,11
YStuO6_HBw8,ballet is a BATTLE,2025-02-28T19:00:20Z,6.0,64736,3052,11
1FwJuMaYxfg,lol oops…,2025-02-27T19:00:01Z,15.0,5404,389,8
tkOI4c8T5H4,the last one is THE LOOKKKK,2025-02-26T19:00:40Z,47.0,8048,737,10
ua2buwvMyFE,DANCE CLASS💃sleepy edition??,2025-02-26T19:00:39Z,14.0,7192,491,5
ps65IQbwMiE,going back to ballet🩰👀,2025-02-24T19:00:41Z,49.0,14653,1154,11
TyCZRSM8Dxs,NOT ME FALLING😭😭,2025-02-23T19:00:16Z,9.0,8901,787,6
4MbMUx5Y1pE,BALLETCORE PHOTOSHOOT🩰,2025-02-22T19:00:03Z,55.0,5374,545,7
Yk_eKLzmIdU,hello pitch perfect👀👀,2025-02-21T19:00:23Z,14.0,8909,793,6
1zK__-6QsWc,on set with my mini-me🥹,2025-02-20T19:00:02Z,27.0,8609,997,9
mUwCvt4f5Xo,this BTS from a previous project🤗,2025-02-18T19:00:37Z,19.0,6028,739,7
S-warhuLP20,BTS of filming an airline video🤗 go watch my new short film🛫,2025-02-17T19:00:27Z,33.0,4813,368,7
14cZk1oRG8Q,MAKE A SHORT FILM with me🎞️✈️,2025-02-16T19:00:00Z,24.0,11954,1142,6
uYUYULZfe_M,who’s excited for the new music🙋🏻‍♀️,2025-02-15T19:00:39Z,54.0,5753,442,6
6hCecT1LX6Q,Heartbreak Air ❤️,2025-02-15T01:07:19Z,54.0,8851,1022,31
VHKi-r2EOGs,back to heels class👠,2025-02-14T19:00:31Z,12.0,5401,431,9
DrbBov_bLxQ,AND WITH NEW MUSIC👀,2025-02-13T19:00:17Z,21.0,6326,507,8
30E7UYpENr8,is my glambot cooked,2025-02-09T19:00:02Z,17.0,12958,1297,38
eLVMPo8x0rg,she is me💃💇🏻‍♀️,2025-02-08T19:00:21Z,18.0,15577,2501,19
rVIP3Ut1kY8,somehow ended up at the grammys LOL,2025-02-07T19:00:39Z,9.0,7451,614,8
DERCXEXvB30,AT THE GRAMMYS💋🏆,2025-02-06T19:00:07Z,7.0,9737,1182,20
KCaktH7zzL0,this is literally GIVINGGG,2025-02-05T19:00:22Z,8.0,9010,811,12
