video_id,title,published_at,date,time,hour,duration_seconds,view_count,like_count,comment_count,engagement_rate,has_hashtags,hashtag_count,has_emojis,emoji_count,clean_title,num_words,sentiment_polarity,sentiment,day_of_week
C1Dp0naajvw,absolute banger 🎶💃 #shorts #dance #dancer,2022-08-02 18:00:06+00:00,2022-08-02,18:00:06,18,14.0,4501,98,6,0.02310597644967785,True,3,True,2,absolute banger 🎶💃,6,0.2,positive,Tuesday
2GLYFpyDVCY,performance after recovery 💕🩰 #shorts #dance #ballet #dancer,2022-08-03 18:00:02+00:00,2022-08-03,18:00:02,18,8.0,3097,110,1,0.03584113658379077,True,4,True,2,performance after recovery 💕🩰,8,0.0,neutral,Wednesday
KIytYq5HOHU,tears 25/8 🧚‍♀️🥲 #shorts,2022-08-04 18:00:07+00:00,2022-08-04,18:00:07,18,7.0,3276,53,6,0.018009768009768008,True,1,True,2,tears 25/8 🧚‍♀️🥲,4,0.0,neutral,Thursday
oMHh0KhS4CM,Knock knock!🚪who invited HER?!🙄 #shorts #transition,2022-08-05 18:00:31+00:00,2022-08-05,18:00:31,18,8.0,3939,117,3,0.030464584920030464,True,2,True,2,Knock knock!🚪who invited HER?!🙄,6,0.0,neutral,Friday
8BvvGx3moeQ,did this reach the target audience?💅 #shorts,2022-08-06 18:00:06+00:00,2022-08-06,18:00:06,18,10.0,1333,45,3,0.03600900225056264,True,1,True,1,did this reach the target audience?💅,7,0.0,neutral,Saturday
O2NosSGJSfU,what if we're all in a simulation🤔⁉️ #shorts #ootd,2022-08-08 18:00:17+00:00,2022-08-08,18:00:17,18,5.0,1952,27,3,0.015368852459016393,True,2,True,2,what if we're all in a simulation🤔⁉️,9,0.0,neutral,Monday
Ezbs9eGA2g8,this dress tho...🦋 #shorts #dress,2022-08-09 18:00:05+00:00,2022-08-09,18:00:05,18,6.0,1384,52,4,0.04046242774566474,True,2,True,1,this dress tho...🦋,5,0.0,neutral,Tuesday
sEHS4dUtfsA,Emma Chamberlain summer uniform #shorts #ootd #emmachamberlain,2022-08-10 18:00:18+00:00,2022-08-10,18:00:18,18,13.0,5590,122,1,0.022003577817531306,True,3,False,0,Emma Chamberlain summer uniform,7,0.0,neutral,Wednesday
tIg44LYuS6s,best feeling EVER 👯‍♀️ #shorts #friends,2022-08-11 18:00:17+00:00,2022-08-11,18:00:17,18,5.0,3512,109,2,0.03160592255125285,True,2,True,1,best feeling EVER 👯‍♀️,6,1.0,positive,Thursday
NKY1tc39V0o,👠✨💃 #shorts #dance #dancer,2022-08-12 18:00:06+00:00,2022-08-12,18:00:06,18,13.0,3152,111,3,0.03616751269035533,True,3,True,3,👠✨💃,4,0.0,neutral,Friday
ExEmertVE3A,LMK the hottest weather you've been in🔥 #shorts #heat,2022-08-13 18:00:08+00:00,2022-08-13,18:00:08,18,7.0,1749,40,2,0.024013722126929673,True,2,True,1,LMK the hottest weather you've been in🔥,9,0.0,neutral,Saturday
1S_Oj2LYDnU,and help me move lol 📦 #shorts #hair,2022-08-15 18:00:00+00:00,2022-08-15,18:00:00,18,10.0,5102,109,3,0.02195217561740494,True,2,True,1,and help me move lol 📦,8,0.8,positive,Monday
olEVSJXKuZg,First time flying business class 💸 #shorts #flight,2022-08-18 18:00:12+00:00,2022-08-18,18:00:12,18,52.0,2613,114,2,0.044393417527745886,True,2,True,1,First time flying business class 💸,8,0.25,positive,Thursday
XzC9USt-OoY,What I tried on while shopping 🤣🛍 #shorts,2022-08-19 18:00:13+00:00,2022-08-19,18:00:13,18,9.0,1276,30,1,0.024294670846394983,True,1,True,2,What I tried on while shopping 🤣🛍,8,0.0,neutral,Friday
dlMVRwdVqTY,I can't believe this coat exists 😭 #shorts #designer #fashion,2022-08-20 18:00:11+00:00,2022-08-20,18:00:11,18,23.0,2588,115,4,0.04598145285935085,True,3,True,1,I can't believe this coat exists 😭,10,0.0,neutral,Saturday
p5VTXUyPpDs,testing the CREEPIEST face mask ⬇️🧚‍♀️ #shorts #skincare,2022-08-21 18:00:15+00:00,2022-08-21,18:00:15,18,36.0,1776,68,4,0.04054054054054054,True,2,True,2,testing the CREEPIEST face mask ⬇️🧚‍♀️,8,0.0,neutral,Sunday
OD-LXnHtau8,she rlly said: HOLD ON‼️can we switch the language📣 #shorts #dancer #dance,2022-08-22 18:00:17+00:00,2022-08-22,18:00:17,18,24.0,4000,97,2,0.02475,True,3,True,2,she rlly said: HOLD ON‼️can we switch the language📣,12,0.0,neutral,Monday
tmpfQfu8fKY,OMG! why didn't I think of that🤯🤯 #shorts,2022-08-23 18:00:21+00:00,2022-08-23,18:00:21,18,11.0,3467,186,6,0.055379290452841075,True,1,True,2,OMG! why didn't I think of that🤯🤯,8,0.0,neutral,Tuesday
zzSy1PcHFoM,my clothes now ✨😈 #shorts #sister,2022-08-23 18:00:24+00:00,2022-08-23,18:00:24,18,6.0,19334,400,3,0.02084410882383366,True,2,True,2,my clothes now ✨😈,6,0.0,neutral,Tuesday
DCJpfz_gNjE,calves for DAYSSS🦵#shorts #dancer,2022-08-24 18:00:05+00:00,2022-08-24,18:00:05,18,10.0,6759,125,1,0.018641810918774968,True,2,True,1,calves for DAYSSS🦵,4,0.0,neutral,Wednesday
hUL1UL3CSU8,can ballerinas do other styles? #shorts #dance #dancer,2022-08-25 18:00:13+00:00,2022-08-25,18:00:13,18,36.0,1849,59,1,0.03244997295835587,True,3,False,0,can ballerinas do other styles?,8,-0.125,negative,Thursday
hoISV3KDih4,what did he sAYYYYY?? 🤨 #shorts #ballet #dance,2022-08-26 18:00:15+00:00,2022-08-26,18:00:15,18,6.0,6332,92,2,0.014845230574857865,True,3,True,1,what did he sAYYYYY?? 🤨,8,0.0,neutral,Friday
s22jfzsVgfI,my crazy popstar dancebreak 🏃🏻‍♀️ #shorts #dance #dancer,2022-08-27 18:00:17+00:00,2022-08-27,18:00:17,18,7.0,1837,63,0,0.03429504627109418,True,3,True,1,my crazy popstar dancebreak 🏃🏻‍♀️,8,-0.6,negative,Saturday
UO_JfGII1dA,blanket yoda meets baguette 🥖#shorts,2022-08-28 18:00:20+00:00,2022-08-28,18:00:20,18,7.0,1285,39,0,0.030350194552529183,True,1,True,1,blanket yoda meets baguette 🥖,5,0.0,neutral,Sunday
QeIVjRUcEJ4,worth each zipper 👗 #shorts #fashion #dress,2022-08-29 18:00:18+00:00,2022-08-29,18:00:18,18,6.0,2481,66,1,0.027005239822652155,True,3,True,1,worth each zipper 👗,7,0.3,positive,Monday
a2SGYom4TaE,La Esmerelda challenge but i'm RETIRED #shorts #ballet #ballerina,2022-08-30 18:00:00+00:00,2022-08-30,18:00:00,18,11.0,41320,1162,6,0.028267182962245885,True,3,False,0,La Esmerelda challenge but i'm RETIRED,9,0.0,neutral,Tuesday
Rh5QawpizMM,ooooo i'm blinded by ✨this filter✨ #shorts,2022-08-31 18:00:17+00:00,2022-08-31,18:00:17,18,6.0,4830,58,1,0.012215320910973085,True,1,True,2,ooooo i'm blinded by ✨this filter✨,7,0.0,neutral,Wednesday
bhkyobaEaVs,OOTD but ✨ballerina style🩰 #shorts #outfit #ballet #dance,2022-09-01 18:00:11+00:00,2022-09-01,18:00:11,18,8.0,1644,87,2,0.054136253041362534,True,4,True,2,OOTD but ✨ballerina style🩰,8,0.0,neutral,Thursday
fg-TwyqyiJ0,It's giving Gemini♊️🧚‍♀️ #shorts #friends #astrology,2022-09-02 18:00:12+00:00,2022-09-02,18:00:12,18,7.0,8710,271,5,0.03168771526980482,True,3,True,2,It's giving Gemini♊️🧚‍♀️,6,0.0,neutral,Friday
_S_iWTraLDE,how did this ballerina do? 👀 #shorts #dance #dancer,2022-09-03 18:00:19+00:00,2022-09-03,18:00:19,18,12.0,10496,262,4,0.02534298780487805,True,3,True,1,how did this ballerina do? 👀,9,0.0,neutral,Saturday
qCNQv6DhZ3c,do we look alike NOW?👯‍♀️ #shorts #sister #sisters,2022-09-04 18:00:12+00:00,2022-09-04,18:00:12,18,8.0,1524,39,4,0.02821522309711286,True,3,True,1,do we look alike NOW?👯‍♀️,8,0.0,neutral,Sunday
JtG73Iqh400,this is your sign to try new dance styles‼️ #shorts #dance #dancer,2022-09-05 18:00:11+00:00,2022-09-05,18:00:11,18,26.0,8344,396,7,0.04829817833173538,True,3,True,1,this is your sign to try new dance styles‼️,12,0.13636363636363635,positive,Monday
qHsYoXptB2c,I found my DREAM DRESS 🤩 #shorts #dress #fashion,2022-09-06 18:00:14+00:00,2022-09-06,18:00:14,18,5.0,1085,56,0,0.05161290322580645,True,3,True,1,I found my DREAM DRESS 🤩,9,0.0,neutral,Tuesday
Ii5hwR8D9PI,this dance is addicting💃 #shorts #dance #dancer,2022-09-07 18:00:07+00:00,2022-09-07,18:00:07,18,8.0,1569,43,1,0.02804333970681963,True,3,True,1,this dance is addicting💃,7,0.0,neutral,Wednesday
B4bwtq0wwBU,can we talk about the back of the dress‼️👗 #shorts #fashion #dress,2022-09-08 18:00:04+00:00,2022-09-08,18:00:04,18,13.0,3817,287,0,0.07518993974325386,True,3,True,2,can we talk about the back of the dress‼️👗,12,0.0,neutral,Thursday
IXph_cwoBdc,do these count as vintage LOL 🛍 #shorts #fashion #haul,2022-09-09 18:00:08+00:00,2022-09-09,18:00:08,18,6.0,11605,336,2,0.02912537699267557,True,3,True,1,do these count as vintage LOL 🛍,10,0.8,positive,Friday
QONjiZjFOMY,this outfit is screaming ballet-core #shorts #ootd #fashion #ballet,2022-09-10 18:00:10+00:00,2022-09-10,18:00:10,18,8.0,5032,111,1,0.022257551669316374,True,4,False,0,this outfit is screaming ballet-core,9,0.0,neutral,Saturday
qiRPvwpvAQY,style an outfit with me! 👗 bodysuit edition #shorts #fashion #ootd,2022-09-11 18:00:14+00:00,2022-09-11,18:00:14,18,29.0,1463,57,2,0.04032809295967191,True,3,True,1,style an outfit with me! 👗 bodysuit edition,11,0.0,neutral,Sunday
2CC8gG9QFCY,Are you a gold or silver person? #shorts #jewellery #silver #gold,2022-09-12 18:00:01+00:00,2022-09-12,18:00:01,18,8.0,4673,79,8,0.018617590413010913,True,4,False,0,Are you a gold or silver person?,11,0.0,neutral,Monday
